date,easting,northing,easting_dec_deg,northing_dec_deg,sitename,slough,site,plot_type,plot_replicate,slough_plot_type,water_depth_m,micro_dm_gm2,micro_afdm_gm2,micro_chla_ugg,micro_chla_gm2,micro_chla_gm3,micro_tp_conc_ugg,micro_tp_stock_gm2,micro_tp_stock_gm3,micro_tn_conc_ugg,micro_tn_stock_gm2,total_macro_dm_gm2,total_macro_dm_gm3,total_macro_tp_conc_ugg,total_macro_tp_stock_gm2,total_macro_tp_stock_gm3,total_macro_tn_conc_ugg,total_macro_tn_stock_gm2,total_clajam_dm_gm2,total_clajam_dm_gm3,total_clajam_tp_conc_ugg,total_clajam_tp_stock_gm2,total_clajam_tp_stock_gm3,total_clajam_tn_conc_ugg,total_clajam_tn_stock_gm2,clajam_collection_flag,total_elecel_dm_gm2,total_elecel_dm_gm3,total_elecel_tp_conc_ugg,total_elecel_tp_stock_gm2,total_elecel_tp_stock_gm3,total_elecel_tn_conc_ugg,total_elecel_tn_stock_gm2,elecel_collection_flag,total_prod_bio_gm2,total_prod_bio_gm3,total_prod_tp_conc_ugg,total_prod_tp_stock_gm2,total_prod_tp_stock_gm3,total_prod_tn_conc_ugg,total_prod_tn_stock_gm2
2021-06-14,534728,2847604,25.746027,-80.653732,SRS1d,srs,1,ridge,1,srs_ridge,0.29,210.44,111.61,219.66,0.014,0.05,144.79,0.016,0.0552,12364.62,1379958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534727,2847607,25.746054,-80.653742,SRS1d,srs,1,ridge,2,srs_ridge,0.32,195.9,90.57,310.58,0.016,0.0511,104.93,0.01,0.0313,10057.18,910872.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534726,2847599,25.745982,-80.653752,SRS1d,srs,1,ridge,3,srs_ridge,0.27,174.35,84.64,257.46,0.011,0.0426,92.33,0.008,0.0296,11508.82,974089.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534728,2847612,25.746099,-80.653732,SRS1d,srs,1,slough,1,srs_slough,0.33,164.24,73.51,152.43,0.009,0.0265,145.54,0.011,0.0333,9886.15,726703.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534731,2847610,25.746081,-80.653702,SRS1d,srs,1,slough,2,srs_slough,0.37,328.47,145.84,250.3,0.018,0.0478,192.38,0.028,0.0757,6437.33,938793.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534732,2847601,25.746,-80.653692,SRS1d,srs,1,slough,3,srs_slough,0.27,86.92,39.03,226.81,0.014,0.0533,179.94,0.007,0.0259,53238.03,2077985.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-08-06,521524,2825830,25.549656,-80.785738,SRS2,srs,2,ridge,1,srs_ridge,0.34,2.01,1.26,117.8,0.002,0.0059,214.58,0,0,16529.73,20872.28,848.03,2472.391,1834.8,0.138,0.4035,61805.21,5004683,791.24,2306.822,369.87,0.115,0.3365,6167.25,1581405,Live and dead macrophyte sample collected,23.73,69.184,330,0.008,0.0223,12512.39,289537,Live and dead macrophyte sample collected,848.03,2472.397,2049.39,0.139,0.4035,78334.94,5025556
2021-08-06,521505,2825833,25.549683,-80.785927,SRS2,srs,2,ridge,2,srs_ridge,0.37,31.22,16.72,295.26,0.019,0.0499,138.3,0.002,0.0054,14899.41,249122.34,768.4,2060.054,1585.65,0.107,0.2858,1585.65,4353595,754.92,2023.914,328.67,0.1,0.2691,7061.85,1796606,Live and dead macrophyte sample collected,2.88,7.721,278.14,0.001,0.0021,12576.77,36221,Live and dead macrophyte sample collected,768.42,2060.103,1723.95,0.109,0.2858,16485.06,4602718
2021-08-06,521504,2825829,25.549647,-80.785937,SRS2,srs,2,ridge,3,srs_ridge,0.38,48.13,26.93,256.43,0.018,0.0467,186.21,0.005,0.0132,13868.64,373425.69,867.8,2283.684,2482.03,0.148,0.3897,91315.05,5960632,832.18,2189.947,402.3,0.137,0.3605,7130.46,1878591,Live and dead macrophyte sample collected,8.34,21.947,221.58,0.002,0.0045,12905.77,100665,Live and dead macrophyte sample collected,867.82,2283.731,2668.24,0.153,0.3899,105183.69,6334058
2021-08-06,521530,2825819,25.549557,-80.785678,SRS2,srs,2,slough,1,srs_slough,0.43,65.61,32.81,286.06,0.026,0.0604,175.85,0.006,0.014,13567.48,445178.92,286.69,662.102,2688.74,0.171,0.3951,100626.76,4207125,18.95,43.764,344.33,0.007,0.0151,-9999,-9999,Species not present to collect,166.55,384.642,1146.4,0.134,0.3084,16404.23,2683568,Live and dead macrophyte sample collected,286.72,662.162,2864.59,0.177,0.3952,114194.24,4652304
2021-08-06,521522,2825834,25.549692,-80.785758,SRS2,srs,2,slough,2,srs_slough,0.41,101.42,48.73,148.85,0.005,0.013,143.47,0.007,0.0171,12630.19,615479.98,386.36,951.626,1666.4,0.102,0.2501,77143.28,3626457,1.6,3.941,183.27,0,0.0004,-9999,-9999,Live but no dead macrophyte data collected,306.3,754.433,513.85,0.077,0.1885,9002.14,2652751,Live and dead macrophyte sample collected,386.37,951.639,1809.87,0.109,0.2503,89773.47,4241937
2021-08-06,521523,2825837,25.549719,-80.785748,SRS2,srs,2,slough,3,srs_slough,0.39,165.67,80.22,305.47,0.017,0.0448,123.13,0.01,0.0256,12521.36,1004455.6,315.36,816.995,1766.14,0.086,0.2236,84532.94,3284036,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,251.33,651.114,606.47,0.07,0.1824,9816.48,2346826,Live and dead macrophyte sample collected,315.38,817.04,1889.27,0.096,0.2238,97054.3,4288492
2021-08-02,514770,2816805,25.468239,-80.85307,SRS3,srs,3,ridge,1,srs_ridge,0.3,5.38,3.48,107.16,0.003,0.0101,502.65,0.002,0.0067,21693.77,75438.28,830.5,2768.333,864.31,0.112,0.3729,26917.48,4368292,827.61,2758.7,271.71,0.111,0.3703,4602.73,1813708,Live and dead macrophyte sample collected,1.34,4.467,592.6,0.001,0.0026,16473.54,22075,Live and dead macrophyte sample collected,830.5,2768.343,1366.96,0.114,0.373,48611.25,4443730
2021-08-02,514777,2816816,25.468339,-80.853,SRS3,srs,3,ridge,2,srs_ridge,0.23,22.78,15.56,430.12,0.037,0.1591,244.55,0.004,0.0174,19910.63,309779.43,693.79,3016.478,966.34,0.064,0.2784,41063.08,4449311,679.46,2954.174,231.79,0.056,0.2425,6150.74,822723,Live and dead macrophyte sample collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,693.83,3016.637,1210.89,0.068,0.2786,60973.71,4759091
2021-08-02,514785,2816816,25.468338,-80.852921,SRS3,srs,3,ridge,3,srs_ridge,0.17,11.31,7.33,394.54,0.014,0.0828,329.38,0.002,0.0118,21565.2,158050.98,735.34,4250.52,5437.56,0.166,0.9573,94497.37,2340325,671.3,3880.347,260.4,0.076,0.4367,6142.86,1555556,Live and dead macrophyte sample collected,1.3,7.514,721.45,0.001,0.0054,17091.95,22220,Live and dead macrophyte sample collected,735.35,4250.603,5766.94,0.168,0.9574,116062.57,2498376
2021-08-02,514769,2816804,25.46823,-80.85308,SRS3,srs,3,slough,1,srs_slough,0.18,29.59,13.56,322.84,0.028,0.158,341.14,0.005,0.0278,14586.97,197781.9,337.21,1873.389,7134.33,0.105,0.5807,183392.11,3823925,213.78,1187.667,363.66,0.031,0.1736,7408.72,299238,Live and dead macrophyte sample collected,92.45,513.611,468.62,0.043,0.2381,13551.24,1239261,Live and dead macrophyte sample collected,337.24,1873.547,7475.48,0.109,0.5809,197979.08,4021707
