publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,micro_type,water_depth_m,water_depth_m_value,water_depth_m_location,chla_gm2,log_chla_gm2,chla_gm2_value,chla_gm2_conversion,chla_gm2_location,chla_gm3,log_chla_gm3,afdm_gm2,log_afdm_gm2,afdm_gm2_value,afdm_gm2_conversion,afdm_gm2_location,water_tp_ugl,log_water_tp_ugl,water_tp_ugl_conversion,water_tp_ugl_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tp_stock_gm3,log_tp_stock_gm3,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Nalepa and Quigley, 1987","Nalepa, T. F., & Quigley, M. A.",1987,Distribution of photosynthetic pigments in nearshore sediments of Lake Michigan,Journal of Great Lakes Research,https://doi.org/10.1016/S0380-1330(87)71625-6,"Carrick and Lowe, 2007",Michigan,United States of America,oligotrophic lake,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,episammon,NA,NA,NA,0.007,-2.155,mean,mg/m2 to g/m2,discussion text,-9999,-9999,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Nalepa and Quigley, 1987","Nalepa, T. F., & Quigley, M. A.",1987,Distribution of photosynthetic pigments in nearshore sediments of Lake Michigan,Journal of Great Lakes Research,https://doi.org/10.1016/S0380-1330(87)71625-6,"Carrick and Lowe, 2007",Michigan,United States of America,oligotrophic lake,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,episammon,NA,NA,NA,2.11,0.324,mean,mg/m2 to g/m2,discussion text,-9999,-9999,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Gleason and Speckman, 1974","Gleason, P. J., & Spackman, W.",1974,Calcareous periphyton and water chemistry in the Everglades,"Environments of South Florida: present and past,?2",NA,"McCormick et al., 1997",Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,epiphyton,NA,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,40,1.602,mean,none,discussion text,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Gleason and Speckman, 1974","Gleason, P. J., & Spackman, W.",1974,Calcareous periphyton and water chemistry in the Everglades,"Environments of South Florida: present and past,?3",NA,"McCormick et al., 1997",Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,epiphyton,NA,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,225,2.352,mean,none,discussion text,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Wood and Maynard, 1974","Wood, E. F., & Maynard, N. G.",1974,Ecology of the microalgae of the Florida Everglades,"Environments of South Florida: Past and Present, Memoir",NA,"McCormick et al., 1998",Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,microbial mat,NA,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,2500,3.398,mean,none,discussion text,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Aberle and Wiltshire, 2006","Aberle, N., & Wiltshire, K. H.",2006,Seasonality and diversity patterns of microphytobenthos in a mesotrophic lake,Archiv fur Hydrobiologie,https://doi.org/10.1127/0003-9136/2006/0167-0447,NA,NA,Germany,Lake Schohsee mesotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,episammon,"0.80, 1.20",multiple values,abstract text,0.0016,-2.796,mean,ug/cm2 to g/m2,abstract text,0,-2.875,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Aberle and Wiltshire, 2006","Aberle, N., & Wiltshire, K. H.",2006,Seasonality and diversity patterns of microphytobenthos in a mesotrophic lake,Archiv fur Hydrobiologie,https://doi.org/10.1127/0003-9136/2006/0167-0447,NA,NA,Germany,Lake Schohsee mesotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,episammon,"0.80, 1.20",multiple values,abstract text,0.0074,-2.131,mean,ug/cm2 to g/m2,abstract text,0.01,-2.21,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Akhurst et al., 2012","Akhurst, D. J., Jones, G. B., Clark, M., & Reichelt-Brushett, A.",2012,"Effects of carp, gambusia, and Australian bass on water quality in a subtropical freshwater reservoir",Lake and Reservoir Management,https://doi.org/10.1080/07438141.2012.702337,NA,New South Wales,Australia,Emergent Creek Dam reservoir,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,epiphyton on Cabomba caroliniana,1,value,methods text,0.015,-1.824,mean,mg/m2 to g/m2,table 2,0.02,-1.824,-9999,-9999,NA,NA,NA,33,1.519,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Albany and Akcaalan, 2008","Albay, M., & Akcaalan, R.",2008,Effects of water quality and hydrologic drivers on periphyton colonization on Sparganium erectum in two Turkish lakes with different mixing regimes,Environmental monitoring and assessment,https://doi.org/10.1007/s10661-007-0069-5,NA,NA,Turkey,Sapanca Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epiphyton on Sparganium erectum,0.50-0.75,range,methods text,0.704,-0.152,mean,ug/cm2 to g/m2,results text,0.94,-0.027,-9999,-9999,NA,NA,NA,12.4,1.093,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
"Albany and Akcaalan, 2008","Albay, M., & Akcaalan, R.",2008,Effects of water quality and hydrologic drivers on periphyton colonization on Sparganium erectum in two Turkish lakes with different mixing regimes,Environmental monitoring and assessment,https://doi.org/10.1007/s10661-007-0069-5,NA,NA,Turkey,Sapanca Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,epiphyton on Sparganium erectum,0.25-0.50,range,methods text,0.532,-0.274,mean,ug/cm2 to g/m2,results text,1.06,0.027,-9999,-9999,NA,NA,NA,12.4,1.093,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA
