publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,macrophyte_identification,dm_gm2,log_dm_gm2,dm_gm2_value,dm_gm2_conversion,dm_gm2_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Adcock and Ganf, 1994","Adcock, P. W., & Ganf, G. G.",1994,Growth Characteristics of Three Macrophyte Species Growing in a Natural and Constructed Wetland System,Water Science & Technology,https://doi.org/10.2166/wst.1994.0166,NA,Southern Australia,Australia,Bool Lagoon,constructed_treatment_wetland,wetland,wetland,Triclochin shoot,110,2.041,mean,none,table 1,0.2,-0.699,mean,none,table 3,2.2,0.342,mean,none,table 3
"Adcock and Ganf, 1994","Adcock, P. W., & Ganf, G. G.",1994,Growth Characteristics of Three Macrophyte Species Growing in a Natural and Constructed Wetland System,Water Science & Technology,https://doi.org/10.2166/wst.1994.0166,NA,Southern Australia,Australia,Bool Lagoon,constructed_treatment_wetland,wetland,wetland,Baumea shoot,3802,3.58,mean,none,table 1,1.1,0.041,mean,none,table 3,16,1.204,mean,none,table 3
"Adcock and Ganf, 1994","Adcock, P. W., & Ganf, G. G.",1994,Growth Characteristics of Three Macrophyte Species Growing in a Natural and Constructed Wetland System,Water Science & Technology,https://doi.org/10.2166/wst.1994.0166,NA,Southern Australia,Australia,Bolivar Lagoon,constructed_treatment_wetland,wetland,wetland,Phragmites shoot,788,2.897,mean,none,table 1,1.4,0.146,mean,none,table 3,18.1,1.258,mean,none,table 3
"Adcock and Ganf, 1994","Adcock, P. W., & Ganf, G. G.",1994,Growth Characteristics of Three Macrophyte Species Growing in a Natural and Constructed Wetland System,Water Science & Technology,https://doi.org/10.2166/wst.1994.0166,NA,Southern Australia,Australia,Bool Lagoon,constructed_treatment_wetland,wetland,wetland,Phragmites shoot,3220,3.508,mean,none,table 1,1.3,0.114,mean,none,table 3,24.2,1.384,mean,none,table 3
"Adcock and Ganf, 1994","Adcock, P. W., & Ganf, G. G.",1994,Growth Characteristics of Three Macrophyte Species Growing in a Natural and Constructed Wetland System,Water Science & Technology,https://doi.org/10.2166/wst.1994.0166,NA,Southern Australia,Australia,Bolivar Lagoon,constructed_treatment_wetland,wetland,wetland,Baumea shoot,2139,3.33,mean,none,table 1,3.2,0.505,mean,none,table 3,25.2,1.401,mean,none,table 3
"Adcock and Ganf, 1994","Adcock, P. W., & Ganf, G. G.",1994,Growth Characteristics of Three Macrophyte Species Growing in a Natural and Constructed Wetland System,Water Science & Technology,https://doi.org/10.2166/wst.1994.0166,NA,Southern Australia,Australia,Bolivar Lagoon,constructed_treatment_wetland,wetland,wetland,Triclochin shoot,13171,4.12,mean,none,table 1,52.6,1.721,mean,none,table 3,338,2.529,mean,none,table 3
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,19.2,1.283,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,39.6,1.598,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,92.9,1.968,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,147.2,2.168,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,206.5,2.315,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,235.4,2.372,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,253.9,2.405,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,316,2.5,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,339.9,2.531,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Adema et al., 2002","Adema, E. B., Grootjans, A. P., Petersen, J., & Grijpstra, J.",2002,Alternative stable states in a wet calcareous dune slack in the Netherlands,Journal of Vegetation Science,https://doi.org/10.1111/j.1654-1103.2002.tb02027.x,NA,NA,the Netherlands,wet calcareous dune slack,dune_slack,wetland,wetland,live aboveground macrophyte community,430.3,2.634,mean,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Akhurst et al., 2012","Akhurst, D. J., Jones, G. B., Clark, M., & Reichelt-Brushett, A.",2012,"Effects of carp, gambusia, and Australian bass on water quality in a subtropical freshwater reservoir",Lake and Reservoir Magaement,https://doi.org/10.1080/07438141.2012.702337,NA,New South Wales,Australia,Emergent Creek Dam subtropical littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground macrophyte community leaf,861,2.935,mean,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Andersen, 1976","Andersen, F. O.",1976,Primary production in a shallow water lake with special reference to a reed swamp,Oikos,https://doi.org/10.2307/3543902,"Wetzel, 2010",NA,Denmark,Lake Arreso eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground emergent-dominated community,2900,3.462,seasonal maximum,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Andersen, 1976","Andersen, F. O.",1976,Primary production in a shallow water lake with special reference to a reed swamp,Oikos,https://doi.org/10.2307/3543902,"Wetzel, 2010",NA,Denmark,Lake Arreso eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground emergent-dominated community,9900,3.996,seasonal maximum,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Asaeda et al., 2001","Asaeda, T., Trung, V. K., Manatunge, J., & Van Bon, T.",2001,Modelling macrophyte-nutrient-phytoplankton interactions in shallow eutrophic lakes and the evaluation of environmental impacts,Ecological Engineering,https://doi.org/10.1016/S0925-8574(00)00120-8,NA,NA,South Africa,Swartvlei Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,Potamogeton pectinatus monoculture,190,2.279,mean,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Asaeda et al., 2002","Asaeda, T., Hietz, P., Tanaka, N., & Karunaratne, S.",2002,Seasonal fluctuations in live and dead biomass of Phragmites australis as described by a growth and decomposition model: implications of duration of aerobic conditions for litter mineralization and sedimentation,Aquatic Botany,https://doi.org/10.1016/S0304-3770(02)00027-X,"Giannini et al., 2018",NA,Austria,Sodic Alkaline Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Phragmites australis,1030,3.013,maximum,kg/m2 to g/m2,discussion text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Asaeda et al., 2006","Asaeda, T., Manatunge, J., Roberts, J., & Hai, D. N.",2006,Seasonal dynamics of resource translocation between the aboveground organs and age-specific rhizome segments of Phragmites australis,Environmental and Experimental Botany,https://doi.org/10.1016/j.envexpbot.2005.03.006,"Giannini et al., 2018",NA,Japan,Arakawa River floodplain,floodplain_wetland,wetland,wetland,Phragmites australis,690,2.839,maximum,kg/m2 to g/m2,dicussion text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Avila et al., 2016","Avila, N., Lopez-Flores, R., Boix, D., Gascon, S., & Quintana, X. D.",2016,Environmental factors affecting the balance of autotrophs versus heterotrophs in the microbial food web of temporary ponds,Hydrobiologia,https://doi.org/10.1007/s10750-016-2897-1,NA,NA,Spain,temporary pond,pond,shallow_lake_and_pond,other_fw_benthic_system,macrophyte community,80,1.903,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Avila et al., 2016","Avila, N., Lopez-Flores, R., Boix, D., Gascon, S., & Quintana, X. D.",2016,Environmental factors affecting the balance of autotrophs versus heterotrophs in the microbial food web of temporary ponds,Hydrobiologia,https://doi.org/10.1007/s10750-016-2897-1,NA,NA,Spain,temporary pond,pond,shallow_lake_and_pond,other_fw_benthic_system,macrophyte community,100,2,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Avila et al., 2016","Avila, N., Lopez-Flores, R., Boix, D., Gascon, S., & Quintana, X. D.",2016,Environmental factors affecting the balance of autotrophs versus heterotrophs in the microbial food web of temporary ponds,Hydrobiologia,https://doi.org/10.1007/s10750-016-2897-1,NA,NA,Italy,temporary pond,pond,shallow_lake_and_pond,other_fw_benthic_system,macrophyte community,569,2.755,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Avila et al., 2016","Avila, N., Lopez-Flores, R., Boix, D., Gascon, S., & Quintana, X. D.",2016,Environmental factors affecting the balance of autotrophs versus heterotrophs in the microbial food web of temporary ponds,Hydrobiologia,https://doi.org/10.1007/s10750-016-2897-1,NA,NA,Portugual,temporary pond,pond,shallow_lake_and_pond,other_fw_benthic_system,macrophyte community,1949,3.29,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bazilevich and Tishkov, 1982","Bazilevich, N. I., & Tishkov, A. A.",1982,A conceptual-balance model of chemical element cycles in a mesotrophic bog ecosystem,Proceedings of the international scientific workshop on Ecosystem Dynamics in Freshwater Wetlands and Shallow Water Bodies,NA,"Mitsch and Gosselink, 2010",NA,Russia,mesotrophic Pinus-Sphagnum bog,bog,wetland,wetland,live macrophyte community,8500,3.929,mean,none,table 13-5,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Scirpus cyperinus,512,2.709,mean,none,table 1,0.22,-0.658,mean,% with g/m2 to calculate g/m2,table 3,2.64,0.422,mean,% with g/m2 to calculate g/m2,table 3
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Scirpus cyperinus,195,2.29,mean,none,table 1,0.35,-0.456,mean,% with g/m2 to calculate g/m2,table 3,2.82,0.45,mean,% with g/m2 to calculate g/m2,table 3
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,abovground Scirpus atrovirens,256,2.408,mean,none,table 1,0.46,-0.337,mean,% with g/m2 to calculate g/m2,table 3,3.64,0.561,mean,% with g/m2 to calculate g/m2,table 3
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phalaris arundinacea,469,2.671,mean,none,table 1,1.05,0.021,mean,% with g/m2 to calculate g/m2,table 2,4.34,0.637,mean,% with g/m2 to calculate g/m2,table 2
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Typha spp.,309,2.49,mean,none,table 1,0.53,-0.276,mean,% with g/m2 to calculate g/m2,table 3,4.36,0.639,mean,% with g/m2 to calculate g/m2,table 3
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Scirpus cyperinus,383,2.583,mean,none,table 1,0.99,-0.004,mean,% with g/m2 to calculate g/m2,table 3,5.25,0.72,mean,% with g/m2 to calculate g/m2,table 3
