publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,chla_ugl,log_chla_ugl,chla_ugl_value,chla_ugl_conversion,chla_ugl_location,water_tp_ugl,log_water_tp_ugl,water_tp_ugl_conversion,water_tp_ugl_location
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,Kakel Huiincul Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,1.6,0.204,mean,none,table 2,135,2.13,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,La Salada Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,14.2,1.152,mean,none,table 2,148,2.17,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,El Triunfo Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,2.7,0.431,mean,none,table 2,179,2.253,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,El Burro Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,97.3,1.988,mean,none,table 2,202,2.305,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,San Jorge Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,36,1.556,mean,none,table 2,229,2.36,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,Lacombe Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,63.2,1.801,mean,none,table 2,261,2.417,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,Yalca Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,14.6,1.164,mean,none,table 2,297,2.473,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,Chascomus Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,125.7,2.099,mean,none,table 2,662,2.821,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,Vitel Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,76.1,1.881,mean,none,table 2,713,2.853,none,table 1
"Allende et al., 2009","Allende, L., Tell, G., Zagarese, H., Torremorell, A., P?rez, G., Bustingorry, J., Escaray, R., & Izaguirre, I.",2009,"Phytoplankton and primary production in clear-vegetated, inorganic-turbid, and algal-turbid shallow lakes from the pampa plain (Argentina)",Hydrobiologia,https://doi.org/10.1007/s10750-008-9665-9,NA,NA,Argentina,La Limpia Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,18.3,1.262,mean,none,table 2,811,2.909,none,table 1
"Bachmann et al., 2002","Bachmann, R. W., Horsburgh, C. A., Hoyer, M. V., Mataraza, L. K., & Canfield Jr, D. E.",2002,Relations between trophic state indicators and plant biomass in Florida lakes,Hydrobiologia,https://doi.org/10.1023/A:1015660922494,NA,Florida,United States of America,Florida lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,8,0.903,median,mg/m3 to ug/l,table 1,16,1.204,mg/m3 to ug/l,table 1
"Bachmann et al., 2002","Bachmann, R. W., Horsburgh, C. A., Hoyer, M. V., Mataraza, L. K., & Canfield Jr, D. E.",2002,Relations between trophic state indicators and plant biomass in Florida lakes,Hydrobiologia,https://doi.org/10.1023/A:1015660922494,NA,Florida,United States of America,Florida lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,18,1.255,mean,mg/m3 to ug/l,table 1,31,1.491,mg/m3 to ug/l,table 1
"Balla and Davis, 1995","Balla, S. A., & Davis, J. A.",1995,"Seasonal variation in the macroinvertebrate fauna of wetlands of differing water regime and nutrient status on the Swan Coastal Plain, Western Australia",Hydrobiologia,https://doi.org/10.1007/BF00017566,NA,Western Australia,Australia,Jandabup wetland,wetland,wetland,wetland,11.3,1.053,mean,mg/m3 to ug/l,table 1,53,1.724,mg/m3 to ug/l,table 1
"Balla and Davis, 1995","Balla, S. A., & Davis, J. A.",1995,"Seasonal variation in the macroinvertebrate fauna of wetlands of differing water regime and nutrient status on the Swan Coastal Plain, Western Australia",Hydrobiologia,https://doi.org/10.1007/BF00017566,NA,NA,Australia,Murdoch swamp,swamp,wetland,wetland,23.7,1.375,mean,mg/m3 to ug/l,table 1,76,1.881,mg/m3 to ug/l,table 1
"Balla and Davis, 1995","Balla, S. A., & Davis, J. A.",1995,"Seasonal variation in the macroinvertebrate fauna of wetlands of differing water regime and nutrient status on the Swan Coastal Plain, Western Australia",Hydrobiologia,https://doi.org/10.1007/BF00017566,NA,Western Australia,Australia,North wetland,wetland,wetland,wetland,82.3,1.915,mean,mg/m3 to ug/l,table 1,332,2.521,mg/m3 to ug/l,table 1
"Balla and Davis, 1995","Balla, S. A., & Davis, J. A.",1995,"Seasonal variation in the macroinvertebrate fauna of wetlands of differing water regime and nutrient status on the Swan Coastal Plain, Western Australia",Hydrobiologia,https://doi.org/10.1007/BF00017566,NA,Western Australia,Australia,Nowergup wetland,wetland,wetland,wetland,70,1.845,mean,mg/m3 to ug/l,table 1,397,2.599,mg/m3 to ug/l,table 1
"Balla and Davis, 1995","Balla, S. A., & Davis, J. A.",1995,"Seasonal variation in the macroinvertebrate fauna of wetlands of differing water regime and nutrient status on the Swan Coastal Plain, Western Australia",Hydrobiologia,https://doi.org/10.1007/BF00017566,NA,NA,Australia,Bartram swamp,swamp,wetland,wetland,26,1.415,mean,mg/m3 to ug/l,table 1,440,2.643,mg/m3 to ug/l,table 1
"Balla and Davis, 1995","Balla, S. A., & Davis, J. A.",1995,"Seasonal variation in the macroinvertebrate fauna of wetlands of differing water regime and nutrient status on the Swan Coastal Plain, Western Australia",Hydrobiologia,https://doi.org/10.1007/BF00017566,NA,Western Australia,Australia,Thomsons wetland,wetland,wetland,wetland,287.1,2.458,mean,mg/m3 to ug/l,table 1,583,2.766,mg/m3 to ug/l,table 1
"Buchaca et al., 2019","Buchaca, T., Kosten, S., Lacerot, G., Mazzeo, N., Kruk, C., Huszar, V. L., Lotter, A. F., & Jeppesen, E.",2019,Pigments in surface sediments of South American shallow lakes as an integrative proxy for primary producers and their drivers,Hydrobiologia,https://doi.org/10.1111/fwb.13317,NA,NA,South America,tropical lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,3.5,0.544,median,none,table 1,60,1.778,mg/l to ug/l,table 1
